sampleID	slice	medium	dilution	counts	manually_ex	auto_ex	used_counts	ex2	real_counts	real_counts_zero	log_counts	underestimation	undest_logcounts	ex3
B5	6	YGC4	3	200		0	200	0	200000	200000	5.301029996	0	5.301029996	0
B5	6	YGC4	3	58		0	58	0	58000	58000	4.763427994	0	4.763427994	0
B5	7	BR	2	300		x	300	x				0		x
B5	7	BR	3	51		0	51	0	51000	51000	4.707570176	0	4.707570176	0
B5	7	MRS	5	232		0	232	0	23200000	23200000	7.365487985	0	7.365487985	0
B5	7	MRS	6	53		0	53	0	53000000	53000000	7.72427587	0	7.72427587	0
B5	7	MRS	7	11		0	11	0	110000000	110000000	8.041392685	0	8.041392685	0
B5	7	PCA	5	337		0	337	0	33700000	33700000	7.527629901	0	7.527629901	0
B5	7	PCA	6	43		0	43	0	43000000	43000000	7.633468456	0	7.633468456	0
B5	7	PCA	7	3		0		x				0		x
B5	7	VRBD	1	300		x	300	x				0		x
B5	7	VRBD	2	300		x	300	x				0		x
B5	7	VRBD	3	300		x	300	x				1	5.477121255	0
B5	7	YGC25	2	381		0	381	0	38100	38100	4.580924976	0	4.580924976	0
B5	7	YGC25	3	48		0	48	0	48000	48000	4.681241237	0	4.681241237	0
B5	7	YGC4	2		x	x	0	x				0		x
B5	7	YGC4	3		x	x		x				0		x
B5	8	BR	3	7		0	7	0	7000	7000	3.84509804	0	3.84509804	0
B5	8	BR	4	1		0		x				0		x
B5	8	MRS	5	174		0	174	0	17400000	17400000	7.240549248	0	7.240549248	0
B5	8	MRS	6	23		0	23	0	23000000	23000000	7.361727836	0	7.361727836	0
B5	8	MRS	7	1		0		x				0		x
B5	8	PCA	5	197		0	197	0	19700000	19700000	7.294466226	0	7.294466226	0
B5	8	PCA	6	18		0	18	0	18000000	18000000	7.255272505	0	7.255272505	0
B5	8	PCA	7	0		0		x				0		x
B5	8	VRBD	3	300		x	300	x				0		x
B5	8	VRBD	4	300		x	300	x				0		x
B5	8	VRBD	5	37		0	37	0	3700000	3700000	6.568201724	0	6.568201724	0
B5	8	YGC25	3	17		0	17	0	17000	17000	4.230448921	0	4.230448921	0
B5	8	YGC25	4	0		0		x				0		x
B6	1	BR	1	17		0	17	0	510	510	2.707570176	0	2.707570176	0
B6	1	BR	2	5		0		x				0		x
B6	1	MRS	2	15		0	15	0	1500	1500	3.176091259	0	3.176091259	0
B6	1	MRS	3	6		0		x				0		x
B6	1	PCA	2	194		0	194	0	19400	19400	4.28780173	0	4.28780173	0
B6	1	PCA	3	19		0	19	0	19000	19000	4.278753601	0	4.278753601	0
B6	1	RCM	1	3		0	3	0	90	90	1.954242509	0	1.954242509	0
B6	1	VRBD	1	0		0	0	0	0	1	0	0	0	0
B6	1	VRBD	2	0		0		x				0		x
B6	1	YGC25	1	21		0	21	0	630	630	2.799340549	0	2.799340549	0
B6	1	YGC25	2	5		0		x				0		x
B6	1	YGC4	1	24		0	24	0	720	720	2.857332496	0	2.857332496	0
B6	1	YGC4	2	1		0		x				0		x
B6	2	BR	1	55		0	55	0	1650	1650	3.217483944	0	3.217483944	0
B6	2	BR	2	17		0	17	0	1700	1700	3.230448921	0	3.230448921	0
B6	2	MRS	2	300		x	300	x				0		x
B6	2	MRS	3	28		0	28	0	28000	28000	4.447158031	0	4.447158031	0
B6	2	MRS	4	1		0		x				0		x
B6	2	PCA	2	300		x	300	x				0		x
B6	2	PCA	3	215		0	215	0	215000	215000	5.33243846	0	5.33243846	0
B6	2	PCA	4	20		0	20	0	200000	200000	5.301029996	0	5.301029996	0
B6	2	VRBD	1	400		0	400	0	12000	12000	4.079181246	0	4.079181246	0
B6	2	VRBD	2	334		0	334	0	33400	33400	4.523746467	0	4.523746467	0
B6	2	YGC25	1		x	x	0	x				0		x
B6	2	YGC25	2	49		0	49	0	4900	4900	3.69019608	0	3.69019608	0
B6	2	YGC4	1	107		0	107	0	3210	3210	3.506505032	0	3.506505032	0
B6	2	YGC4	2	22		0	22	0	2200	2200	3.342422681	0	3.342422681	0
B6	3	BR	1	300		x	300	x				0		x
B6	3	BR	2	96		0	96	0	9600	9600	3.982271233	0	3.982271233	0
B6	3	MRS	3	179		0	179	0	179000	179000	5.252853031	0	5.252853031	0
